budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",,1252309,"[{'id': 514, 'name': 'spain'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 187056, 'name': 'woman director'}, {'id': 298666, 'name': 'erotic romance'}]",es,Pídeme lo que quieras,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",225.4805,"[{'id': 11564, 'logo_path': None, 'name': 'Versus Entertainment', 'origin_country': 'ES'}, {'id': 209187, 'logo_path': '/xurSUt93rw76Cp3ByybemL6nWl6.png', 'name': 'LyO Media', 'origin_country': 'ES'}, {'id': 11652, 'logo_path': None, 'name': 'Warner Bros. Entertainment España', 'origin_country': 'ES'}, {'id': 37209, 'logo_path': None, 'name': '4 Cats Pictures', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2024-11-29,0,0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Ask Me What You Want,5.752,125
150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",https://movies.disney.com/moana-2,1241982,"[{'id': 658, 'name': 'sea'}, {'id': 270, 'name': 'ocean'}, {'id': 3289, 'name': 'villain'}, {'id': 4344, 'name': 'musical'}, {'id': 9663, 'name': 'sequel'}, {'id': 179431, 'name': 'duringcreditsstinger'}]",en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",186.1839,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}, {'id': 158526, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-11-21,1059544057,99,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The ocean is calling them back.,Moana 2,7.079,2180
0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,1261050,[],da,De lydløse,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.",198.2661,"[{'id': 76, 'logo_path': '/nebkQYtQKhZyHJfh5v0oGpNbPzu.png', 'name': 'Zentropa Entertainments', 'origin_country': 'DK'}, {'id': 2801, 'logo_path': '/bswb1PLLsKDUXMLgy42bZtCtIde.png', 'name': 'Film i Väst', 'origin_country': 'SE'}, {'id': 8288, 'logo_path': '/5THcBZP0ad7hXPjtPTxld5sVJQp.png', 'name': 'Zentropa International Sweden', 'origin_country': 'SE'}, {'id': 49934, 'logo_path': '/ns14fiims2htw1kiEI9xCJFFlWO.png', 'name': 'Kazak Productions', 'origin_country': 'FR'}, {'id': 8556, 'logo_path': None, 'name': 'Zentropa International France', 'origin_country': 'FR'}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2024-10-31,0,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Danish', 'iso_639_1': 'da', 'name': 'Dansk'}, {'english_name': 'Swedish', 'iso_639_1': 'sv', 'name': 'svenska'}]",Released,The largest heist in Danish history.,The Quiet Ones,4.983,30
0,"[{'id': 27, 'name': 'Horror'}]",,1208808,"[{'id': 4225, 'name': 'night shift'}, {'id': 1547, 'name': 'mexico city, mexico'}, {'id': 11612, 'name': 'hospital'}, {'id': 162846, 'name': 'ghost'}, {'id': 185343, 'name': 'based on myths, legends or folklore'}, {'id': 285943, 'name': 'nurses'}, {'id': 342372, 'name': 'ghost nurse'}, {'id': 349352, 'name': 'cine mexicano'}]",es,Turno nocturno,"A young nurse with a domestic abuse past starts working the night shift at a small hospital, where, during the night, the ghost of a nurse materializes.",183.8217,"[{'id': 63520, 'logo_path': '/ytQNtv7i4wtkuLyguqRLC0FX8GL.png', 'name': 'Sony Pictures International Productions', 'origin_country': 'US'}, {'id': 74139, 'logo_path': None, 'name': 'EFICINE 189', 'origin_country': 'MX'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2024-10-31,0,107,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,You won't be able to cure this evil.,Turno nocturno,6.529,69
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",https://movies.disney.com/mufasa-the-lion-king,762509,"[{'id': 6054, 'name': 'friendship'}, {'id': 439, 'name': 'paradise'}, {'id': 2043, 'name': 'lion'}, {'id': 4344, 'name': 'musical'}, {'id': 9675, 'name': 'prequel'}, {'id': 10787, 'name': 'jungle'}, {'id': 171826, 'name': 'told in flashback'}, {'id': 171854, 'name': 'betrayal by friend'}, {'id': 177973, 'name': 'chance meeting'}, {'id': 245230, 'name': 'live action remake'}, {'id': 248927, 'name': 'found family'}, {'id': 262419, 'name': 'lost'}, {'id': 325775, 'name': 'awestruck'}]",en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",167.8908,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-12-18,721046090,118,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The story of an orphan who would be king.,Mufasa: The Lion King,7.417,1915
0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",https://epic-pictures.com/film/ghost-game,1249385,"[{'id': 3358, 'name': 'haunted house'}, {'id': 11323, 'name': 'descent into madness'}, {'id': 14903, 'name': 'home invasion'}, {'id': 234506, 'name': 'thrill seeker'}, {'id': 281237, 'name': 'independent film'}, {'id': 308441, 'name': 'social media challenge'}]",en,Ghost Game,"As part of an internet challenge to live undetected in a stranger’s home, a daring couple target an infamous haunted house and endure a series of chilling incidents as they witness a family descending into madness.",127.308,"[{'id': 7662, 'logo_path': '/uGLpMN6r5MyFosNTgP9PKU48CHp.png', 'name': 'Epic Pictures Group', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-10-18,0,86,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Evil lives here.,Ghost Game,3.727,22
122000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",https://www.sonicthehedgehogmovie.com,939243,"[{'id': 305, 'name': 'moon'}, {'id': 9663, 'name': 'sequel'}, {'id': 41645, 'name': 'based on video game'}, {'id': 157701, 'name': 'psychotic'}, {'id': 163129, 'name': 'dual role'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 208927, 'name': 'hedgehog'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 245358, 'name': 'grandfather grandson relationship'}, {'id': 258197, 'name': 'animal human friendship'}, {'id': 269710, 'name': 'anthropomorphic animal'}, {'id': 325435, 'name': 'loss and grief'}, {'id': 325783, 'name': 'cliché'}, {'id': 325787, 'name': 'complicated'}, {'id': 325848, 'name': 'sceptical'}]",en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",150.5111,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 77884, 'logo_path': '/dP2lxVNctD5Cried0IWVqgrO2o9.png', 'name': 'Marza Animation Planet', 'origin_country': 'JP'}, {'id': 113750, 'logo_path': '/A3QVZ9Ah0yI2d2GiXUFpdlbTgyr.png', 'name': 'SEGA', 'origin_country': 'JP'}, {'id': 10644, 'logo_path': '/ocLZIdYJBppuCt1rhYEb2jbpt5F.png', 'name': 'Blur Studio', 'origin_country': 'US'}, {'id': 168701, 'logo_path': '/vWdZFT4V64CCv12D10m44duQjyg.png', 'name': 'SEGA of America', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",2024-12-19,486018457,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,New adventure. New rival.,Sonic the Hedgehog 3,7.742,2376
0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",,1140847,"[{'id': 7376, 'name': 'princess'}, {'id': 9748, 'name': 'revenge'}, {'id': 210586, 'name': 'dark fairy tale'}]",en,Cinderella's Revenge,"Cinderella finds freedom from her wicked stepmother with the help of her fairy godmother. Only this time, they unleash a plan of bloody vengeance.",131.0632,"[{'id': 13923, 'logo_path': '/wobbHfqb8lIBcsUxMOQEgMdVqsQ.png', 'name': 'Sobini Films', 'origin_country': 'US'}, {'id': 39081, 'logo_path': None, 'name': 'Titan Global Entertainment', 'origin_country': ''}, {'id': 220959, 'logo_path': None, 'name': 'EMRJ Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2024-04-26,0,85,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,This ain't no fairy tale,Cinderella's Revenge,4.333,15
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.uranus2324.com/,1167366,"[{'id': 4270, 'name': 'galaxy'}, {'id': 9882, 'name': 'space'}, {'id': 13194, 'name': 'planet'}, {'id': 264386, 'name': 'lesbian'}, {'id': 280003, 'name': 'girls love'}, {'id': 281358, 'name': 'science fiction'}]",th,ยูเรนัส 2324,"Bonded in their youth and separated by tragedy, an astronaut and a free diver bend the laws of space and time in their efforts to be together again.",80.7368,"[{'id': 206637, 'logo_path': None, 'name': 'VelCurve Studio', 'origin_country': 'TH'}]","[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",2024-07-04,0,148,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Thai', 'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,Love is bigger than the universe and deeper than the ocean.,Uranus 2324,6.2,30
0,"[{'id': 35, 'name': 'Comedy'}]",,1304594,"[{'id': 349352, 'name': 'cine mexicano'}]",es,Una pequeña confusión,"Lola and Cuau, a progressive middle-class pair, and Iñigo and Majo, a young conservative, well-heeled duo, turn to artificial insemination as a last resort to have children. In a madcap twist based on actual events, a mix-up at the clinic results in each mom-to-be carrying the other one's baby.",104.7036,"[{'id': 7570, 'logo_path': '/gW8dfVtl1JsGIiLnvglea1OHHVr.png', 'name': 'Videocine', 'origin_country': 'MX'}, {'id': 231437, 'logo_path': None, 'name': 'No Dancing Today', 'origin_country': 'MX'}, {'id': 181497, 'logo_path': None, 'name': 'Arco Entertainment Media', 'origin_country': 'MX'}, {'id': 231443, 'logo_path': None, 'name': 'Gebo Films', 'origin_country': 'MX'}, {'id': 177843, 'logo_path': None, 'name': 'Espectro MX Films', 'origin_country': 'MX'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2024-12-25,0,0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Una pequeña confusión,7.539,38
